id,store_nbr,item_nbr,unit_sales,onpromotion,class,perishable,dcoilwtico,outlier_flag,holiday_flag,expanding_mean,lag_1,lag_2,lag_5,lag_10,lag_12,lag_30,rolling_std_7,day_of_week,month,is_weekend
16323662,36,106716,3.0,0,1032.0,0.0,,0,0,3.0,,,,,,,,2,1,0
16324284,36,1158720,28.0,0,1040.0,0.0,,0,0,15.5,,,,,,,,2,1,0
16352784,24,106716,2.0,0,1032.0,0.0,95.14,0,0,11.0,3.0,,,,,,,3,1,0
16353829,24,1158720,20.0,0,1040.0,0.0,95.14,0,0,13.25,28.0,,,,,,,3,1,0
16355696,26,106716,8.0,0,1032.0,0.0,95.14,0,0,12.2,2.0,3.0,,,,,,3,1,0
16356847,27,106716,4.0,0,1032.0,0.0,95.14,0,0,10.833333333333334,8.0,2.0,,,,,,3,1,0
16357818,27,1158720,7.0,0,1040.0,0.0,95.14,0,0,10.285714285714286,20.0,28.0,,,,,,3,1,0
16358285,28,106716,3.0,0,1032.0,0.0,95.14,0,0,9.375,4.0,8.0,,,,,,3,1,0
16359202,28,1158720,224.0,0,1040.0,0.0,95.14,0,0,33.22222222222222,7.0,20.0,,,,,,3,1,0
16359628,30,106716,1.0,0,1032.0,0.0,95.14,0,0,30.0,3.0,4.0,3.0,,,,,3,1,0
16360295,30,1158720,35.0,0,1040.0,0.0,95.14,0,0,30.454545454545453,224.0,7.0,,,,,,3,1,0
16361914,32,106716,7.0,0,1032.0,0.0,95.14,0,0,28.5,1.0,3.0,2.0,,,,2.581988897471611,3,1,0
16362450,32,1158720,19.0,0,1040.0,0.0,95.14,0,0,27.76923076923077,35.0,224.0,28.0,,,,,3,1,0
16363742,34,106716,6.0,0,1032.0,0.0,95.14,0,0,26.214285714285715,7.0,1.0,8.0,,,,2.63673679998231,3,1,0
16364662,34,1158720,124.0,0,1040.0,0.0,95.14,0,0,32.733333333333334,19.0,35.0,20.0,,,,80.14094726524904,3,1,0
16365073,35,106716,4.0,0,1032.0,0.0,95.14,0,0,30.9375,6.0,7.0,4.0,,,,2.4299715851758235,3,1,0
16365647,35,1158720,49.0,0,1040.0,0.0,95.14,0,0,32.0,124.0,19.0,7.0,,,,78.89595318247589,3,1,0
16365893,36,106716,19.0,0,1032.0,0.0,95.14,0,0,31.27777777777778,4.0,6.0,3.0,,,,5.936168397046637,3,1,0
16366842,36,1158720,93.0,0,1040.0,0.0,95.14,0,0,34.526315789473685,49.0,124.0,224.0,,,,76.22929070839346,3,1,0
16388891,51,106716,2.0,0,1032.0,0.0,95.14,0,0,32.9,19.0,4.0,1.0,3.0,,,6.110100926607787,3,1,0
16418876,24,106716,7.0,0,1032.0,0.0,93.66,0,0,31.666666666666668,2.0,19.0,7.0,2.0,,,5.968169536721256,4,1,0
16419963,24,1158720,7.0,0,1040.0,0.0,93.66,0,0,30.545454545454547,93.0,49.0,35.0,,,,76.22929070839346,4,1,0
16421837,26,106716,7.0,0,1032.0,0.0,93.66,0,0,29.52173913043478,7.0,2.0,6.0,8.0,3.0,,5.442338432975996,4,1,0
