,id,date,store_nbr,item_nbr,unit_sales,onpromotion,class,outlier_flag,holiday_flag,expanding_mean,lag_7,lag_30,rolling_std_7,lag_1,lag_2,lag_12,rolling_mean_7,dcoilwtico
0,16323662,2014-01-01,36,106716,3.0,0.0,1032,0,1,3.0,,,,,,,,
2,16352784,2014-01-02,24,106716,2.0,0.0,1032,0,0,2.5,,,,3.0,,,,95.14
4,16355696,2014-01-02,26,106716,8.0,0.0,1032,0,0,4.333333333333333,,,,2.0,3.0,,,95.14
5,16356847,2014-01-02,27,106716,4.0,0.0,1032,0,0,4.25,,,,8.0,2.0,,,95.14
7,16358285,2014-01-02,28,106716,3.0,0.0,1032,0,0,4.0,,,,4.0,8.0,,,95.14
9,16359628,2014-01-02,30,106716,1.0,0.0,1032,0,0,3.5,,,,3.0,4.0,,,95.14
11,16361914,2014-01-02,32,106716,7.0,0.0,1032,0,0,4.0,,,2.581988897471611,1.0,3.0,,4.0,95.14
13,16363742,2014-01-02,34,106716,6.0,0.0,1032,0,0,4.25,3.0,,2.63673679998231,7.0,1.0,,4.428571428571429,95.14
15,16365073,2014-01-02,35,106716,4.0,0.0,1032,0,0,4.222222222222222,2.0,,2.4299715851758235,6.0,7.0,,4.714285714285714,95.14
17,16365893,2014-01-02,36,106716,13.605467546210788,0.0,1032,0,0,5.160546754621079,8.0,,4.066059006889872,4.0,6.0,,5.515066792315827,95.14
19,16388891,2014-01-02,51,106716,2.0,0.0,1032,0,0,4.873224322382799,4.0,,4.256090805792256,13.605467546210788,4.0,,5.229352506601542,95.14
20,16418876,2014-01-03,24,106716,7.0,0.0,1032,0,0,5.050455628850899,3.0,,4.174632106433045,2.0,13.605467546210788,,5.800781078030113,93.66
22,16421837,2014-01-03,26,106716,7.0,0.0,1032,0,0,5.200420580477753,1.0,,3.601228708490829,7.0,2.0,,6.6579239351729695,93.66
24,16422931,2014-01-03,27,106716,4.0,0.0,1032,0,0,5.114676253300771,7.0,,3.729944561484229,7.0,7.0,,6.229352506601542,93.66
26,16424329,2014-01-03,28,106716,2.0,0.0,1032,0,0,4.907031169747386,6.0,,4.06251203808622,4.0,7.0,,5.6579239351729695,93.66
29,16427734,2014-01-03,32,106716,2.0,0.0,1032,0,0,4.725341721638174,4.0,,4.263884995455749,2.0,4.0,,5.372209649458684,93.66
31,16429512,2014-01-03,34,106716,6.0,0.0,1032,0,0,4.800321620365341,13.605467546210788,,2.36038737740833,2.0,2.0,,4.285714285714286,93.66
33,16430825,2014-01-03,35,106716,2.0,0.0,1032,0,0,4.644748197011711,2.0,,2.3603873774083306,6.0,2.0,,4.285714285714286,93.66
35,16431624,2014-01-03,36,106716,7.0,0.0,1032,0,0,4.76870881822162,7.0,,2.3603873774083306,2.0,6.0,,4.285714285714286,93.66
37,16454055,2014-01-03,51,106716,2.0,0.0,1032,0,0,4.630273377310539,7.0,,2.149196970742241,7.0,2.0,,3.571428571428572,93.66
38,16485554,2014-01-04,24,106716,1.0,0.0,1032,0,0,4.457403216486228,4.0,,2.3401261667248807,2.0,7.0,,3.142857142857143,93.66
40,16488521,2014-01-04,26,106716,3.0,0.0,1032,0,0,4.391157615736854,2.0,,2.288688541085319,1.0,2.0,,3.2857142857142856,93.66
42,16489674,2014-01-04,27,106716,3.0,0.0,1032,0,0,4.330672502009165,2.0,,2.2253945610567487,3.0,1.0,,3.4285714285714284,93.66
44,16491219,2014-01-04,28,106716,3.0,0.0,1032,0,0,4.27522781442545,6.0,,1.9148542155126784,3.0,3.0,,3.0,93.66
46,16492658,2014-01-04,30,106716,2.0,0.0,1032,0,0,4.184218701848431,2.0,,1.9148542155126784,3.0,3.0,,3.0,93.66
48,16495038,2014-01-04,32,106716,1.0,0.0,1032,0,0,4.061748751777338,7.0,,0.8997354108424435,2.0,3.0,,2.142857142857143,93.66
